date,time,dur_mins,n_correct,n_total,pct_correct,start_n,end_n
2020-09-06,08:56:23,0.23205,10,10,100,3,3
2020-09-09,15:09:16,6.9996333,100,108,92,3,6
2020-09-10,15:12:16,16.8215,150,169,88,6,6
2020-09-14,15:28:21,24.376633,150,179,83,6,7
2020-09-16,15:39:20,15.661583,100,110,90,7,9
2020-09-17,15:23:45,25.761816,100,103,97,9,10
2020-09-18,13:27:42,10.1747,100,101,99,5,10
2020-09-20,10:01:35,3.50795,100,101,99,4,8
2020-09-21,15:06:43,13.8796835,100,100,100,5,8
2020-09-22,15:08:45,11.534266,100,100,100,6,8
2020-10-01,17:47:59,8.144,100,104,96,6,7
2020-10-05,16:11:11,5.8960834,100,109,91,6,6
2020-10-06,15:24:22,7.9719667,100,108,92,6,7
